COUNTRY,amount,year,UNIT_TYPE_DESCR
BG,2220728,2016,"ERU - Emission Reduction Unit"
SK,973375,2016,"ERU - Emission Reduction Unit"
CZ,5730673,2016,"ERU - Emission Reduction Unit"
NO,2143128,2016,"ERU - Emission Reduction Unit"
LU,1296600,2016,"ERU - Emission Reduction Unit"
RO,654996,2016,"ERU - Emission Reduction Unit"
LU,38833941,2017,"ERU - Emission Reduction Unit"
ME,1746,2010,"ERU - Emission Reduction Unit"
HR,4567458,2013,"ERU - Emission Reduction Unit"
SC,42008,2012,"ERU - Emission Reduction Unit"
TR,285901,2010,"ERU - Emission Reduction Unit"
BM,2217722,2012,"ERU - Emission Reduction Unit"
LB,6737,2011,"ERU - Emission Reduction Unit"
HR,3846772,2012,"ERU - Emission Reduction Unit"
HK,937348,2013,"ERU - Emission Reduction Unit"
CH,3656657,2010,"ERU - Emission Reduction Unit"
TH,200000,2011,"ERU - Emission Reduction Unit"
SG,529292,2012,"ERU - Emission Reduction Unit"
AE,784628,2010,"ERU - Emission Reduction Unit"
AE,784420,2011,"ERU - Emission Reduction Unit"
KR,1800000,2011,"ERU - Emission Reduction Unit"
KY,568415,2012,"ERU - Emission Reduction Unit"
IT,249558,2018,"ERU - Emission Reduction Unit"
SG,693501,2010,"ERU - Emission Reduction Unit"
,75322728,2018,"ERU - Emission Reduction Unit"
CH,5675656,2016,"ERU - Emission Reduction Unit"
ES,4853714,2019,"ERU - Emission Reduction Unit"
FR,4860547,2019,"ERU - Emission Reduction Unit"
PL,4856578,2019,"ERU - Emission Reduction Unit"
KR,187848,2010,"ERU - Emission Reduction Unit"
LI,1012147,2009,"ERU - Emission Reduction Unit"
CY,302440588,2015,"ERU - Emission Reduction Unit"
US,1434772,2015,"ERU - Emission Reduction Unit"
US,3362764,2017,"ERU - Emission Reduction Unit"
PT,1578774,2016,"ERU - Emission Reduction Unit"
CY,37553047,2017,"ERU - Emission Reduction Unit"
BE,20449,2019,"ERU - Emission Reduction Unit"
SC,1,2015,"ERU - Emission Reduction Unit"
SC,17007,2013,"ERU - Emission Reduction Unit"
LB,8220,2013,"ERU - Emission Reduction Unit"
HK,12623075,2012,"ERU - Emission Reduction Unit"
KR,43,2014,"ERU - Emission Reduction Unit"
CH,41686,2009,"ERU - Emission Reduction Unit"
GB,62209988,2019,"CER - Certified Emission Reduction Unit converted from an AAU"
GB,1481978741,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
BE,214750788,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
BE,415114042,2015,"CER - Certified Emission Reduction Unit converted from an AAU"
BE,88934588,2016,"CER - Certified Emission Reduction Unit converted from an AAU"
BE,34272878,2018,"CER - Certified Emission Reduction Unit converted from an AAU"
BE,163002754,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
FR,101109954,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
DE,377640585,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
GB,528893715,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
RO,33366348,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
DK,36083528,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
HU,32374378,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
FI,39345877,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
PL,79984685,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
SE,52326295,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
CZ,40755117,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
ES,81072660,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
,54253443,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
CH,50466321,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
DK,209858664,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
,23480587,2018,"CER - Certified Emission Reduction Unit converted from an AAU"
PT,29934758,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
NO,27591614,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
LI,4156315,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
AT,31461000,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
SI,24182016,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
GR,24969901,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
SK,24650368,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
IE,19588963,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
EE,5972756,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
LT,12129410,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
LV,17036033,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
IT,130663611,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
BG,20428512,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
NL,129777234,2014,"CER - Certified Emission Reduction Unit converted from an AAU"
,876323225,2012,"CER - Certified Emission Reduction Unit converted from an AAU"
IT,468372077,2012,"CER - Certified Emission Reduction Unit converted from an AAU"
DE,1413317737,2012,"CER - Certified Emission Reduction Unit converted from an AAU"
FR,940305049,2012,"CER - Certified Emission Reduction Unit converted from an AAU"
GB,1893005501,2012,"CER - Certified Emission Reduction Unit converted from an AAU"
,419733936,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
DE,861996246,2013,"CER - Certified Emission Reduction Unit converted from an AAU"
